date,win_country,loss_country,win_score,loss_score,win_player,win_kills,loss_player,loss_kills
25/05/2018,USA,ARG,3,2,Benjamin Patch,27,Pablo Crer,18
25/05/2018,POL,KOR,3,0,Artur Szalpuk,15,Jae-Duck Seo,9
25/05/2018,JPN,AUS,3,1,Haku Ri,19,Nehemiah Mote,16
25/05/2018,ITA,GER,3,1,Ivan Zaytsev,20,Simon Hirsch,14
25/05/2018,RUS,CAN,3,0,Egor Kliuka,16,Bradley Robert Gunter,15
25/05/2018,BUL,CHN,3,2,Rozalin Penchev,15,Chuan Jiang,18
25/05/2018,FRA,IRI,3,1,Earvin Ngapeth,20,Amir Ghafour,17
25/05/2018,BRA,SRB,3,0,Wallace De Souza,17,Aleksandar Atanasijevic,15
26/05/2018,USA,BUL,3,1,Taylor Sander,17,Nikolay Uchikov,14
26/05/2018,POL,RUS,3,0,Michal Kubiak,20,Dmitriy Muserskiy,17
26/05/2018,ITA,BRA,3,2,Ivan Zaytsev,32,Mauricio Borges Almeida Silva,14
26/05/2018,IRI,AUS,3,0,Ali Shafiei,15,Lincoln Alexander Williams,19
26/05/2018,CAN,KOR,3,0,Stephen Timothy Maar,12,Jiseok Jung,10
26/05/2018,SRB,GER,3,1,Drazen Luburic,22,David Sossenheimer,11
26/05/2018,CHN,ARG,3,0,Chuan Jiang,23,Tomas Lopez,11
26/05/2018,FRA,JPN,3,1,Kevin Tillie,16,Yuji Nishida,15
27/05/2018,JPN,IRI,3,1,Yuji Nishida,21,Amir Ghafour,24
27/05/2018,BUL,ARG,3,1,Nikolay Uchikov,26,Agustín Loser,12
27/05/2018,POL,CAN,3,1,Damian Schulz,17,Stephen Timothy Maar,12
27/05/2018,BRA,GER,3,0,Wallace De Souza,17,Christian Fromm,17
27/05/2018,FRA,AUS,3,0,Stephen Boyer,20,Lincoln Alexander Williams,11
27/05/2018,RUS,KOR,3,0,Dmitriy Muserskiy,12,Jae-Duck Seo,16
27/05/2018,ITA,SRB,3,0,Ivan Zaytsev,17,Aleksandar Atanasijevic,8
27/05/2018,USA,CHN,3,0,Taylor Sander,18,Chuan Jiang,15
01/06/2018,USA,JPN,3,2,Benjamin Patch,18,Tatsuya Fukuzawa,16
01/06/2018,BRA,KOR,3,0,Isac Santos,13,Jae-Duck Seo,9
01/06/2018,POL,FRA,3,0,Michal Kubiak,12,Stephen Boyer,13
01/06/2018,RUS,AUS,3,1,Egor Kliuka,20,Lincoln Alexander Williams,23
01/06/2018,CAN,ITA,3,1,Graham Vigrass,17,Ivan Zaytsev,17
01/06/2018,GER,CHN,3,1,Christian Fromm,22,Chuan Jiang,24
01/06/2018,SRB,BUL,3,2,Drazen Luburic,21,Nikolay Uchikov,20
01/06/2018,IRI,ARG,3,2,Milad Ebadipour Ghara H.,18,Facundo Conte,21
02/06/2018,BRA,JPN,3,0,Wallace De Souza,16,Issei Otake,12
02/06/2018,USA,KOR,3,0,Jake Langlois,15,Seung-Suk Kwak,6
02/06/2018,POL,CHN,3,0,Artur Szalpuk,14,Chuan Jiang,18
02/06/2018,SRB,RUS,3,2,Drazen Luburic,32,Dmitriy Muserskiy,27
02/06/2018,ITA,IRI,3,0,Ivan Zaytsev,17,Milad Ebadipour Ghara H.,12
02/06/2018,FRA,GER,3,0,Thibault Rossard,9,Simon Hirsch,9
02/06/2018,AUS,BUL,3,0,Lincoln Alexander Williams,15,Nikolay Penchev,10
02/06/2018,CAN,ARG,3,1,Stephen Timothy Maar,22,Facundo Conte,20
03/06/2018,JPN,KOR,3,2,Tatsuya Fukuzawa,20,Jiseok Jung,19
03/06/2018,BRA,USA,3,2,Wallace De Souza,21,Matthew Anderson,25
03/06/2018,GER,POL,3,1,Simon Hirsch,13,Michal Kubiak,21
03/06/2018,CAN,IRI,3,1,Ryan Joseph Sclater,26,Amir Ghafour,21
03/06/2018,SRB,AUS,3,2,Dusan Petkovic,19,Max Staples,17
03/06/2018,CHN,FRA,3,2,Chuan Jiang,37,Kevin Tillie,17
03/06/2018,ARG,ITA,3,0,Facundo Conte,15,Ivan Zaytsev,18
03/06/2018,RUS,BUL,3,0,Egor Kliuka,16,Nikolay Uchikov,10
